Sequence,Trial,A,W,MT,Errors,TRE,TAC,MDC,ODC,MV,ME,MO
0,0,625,25,784,0,0,0,1,1,14.24,14.71,14.46
0,1,625,25,642,0,0,2,1,0,11.40,9.49,-0.78
0,2,625,25,466,0,0,1,1,0,5.42,5.22,1.80
0,3,625,25,733,0,0,0,2,1,19.44,17.64,16.48
0,4,625,25,652,0,0,0,1,1,3.77,3.00,-1.49
0,5,625,25,426,0,0,0,1,0,14.88,13.63,10.46
0,6,625,25,1277,0,0,3,4,2,36.26,27.49,21.63
0,7,625,25,562,0,0,1,2,1,6.30,4.93,1.53
0,8,625,25,517,0,0,1,1,2,26.14,29.39,-27.77
0,9,625,25,575,0,0,1,1,1,23.69,23.08,20.07
0,10,625,25,573,0,0,1,1,0,21.86,25.93,-23.89
0,11,625,25,506,0,0,1,2,0,18.29,15.41,11.51
0,12,625,25,359,0,0,2,2,1,10.37,8.50,0.47
0,13,625,25,519,0,0,1,1,1,11.28,9.00,-4.01
0,14,625,25,599,0,0,1,1,1,17.11,26.98,26.01
1,0,170,77,411,0,0,1,0,0,3.38,2.44,1.87
1,1,170,77,282,0,0,0,0,1,2.21,16.32,-16.32
1,2,170,77,210,0,0,0,0,1,1.46,20.73,-20.73
1,3,170,77,242,0,0,0,1,1,4.92,18.98,-18.98
1,4,170,77,223,0,0,0,0,1,9.54,18.26,-17.81
1,5,170,77,199,0,0,0,0,1,1.33,3.39,3.39
1,6,170,77,242,0,0,0,0,1,5.30,4.05,0.42
1,7,170,77,266,0,0,0,1,1,2.98,18.52,-18.52
1,8,170,77,650,0,0,2,2,3,15.61,17.45,-11.20
1,9,170,77,203,0,0,0,0,1,2.35,17.73,-17.73
1,10,170,77,225,0,0,0,0,1,7.92,19.68,-19.68
1,11,170,77,213,0,0,0,0,1,5.53,6.92,-6.49
1,12,170,77,253,0,0,0,0,1,2.63,23.50,-23.50
1,13,170,77,226,0,0,2,1,1,6.87,5.96,-0.26
1,14,170,77,319,0,0,1,0,1,6.42,8.84,6.98
2,0,325,60,335,0,0,0,1,0,8.62,12.04,-12.04
2,1,325,60,373,0,0,1,1,1,7.61,8.95,7.60
2,2,325,60,359,0,0,0,2,1,6.78,12.11,-11.86
