key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,from,to,w,a,sequence_loop.thisN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_2.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,受試者ID,date,expName,psychopyVersion,OS,frameRate,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
return,6.5861,return,0.6977,"[295,-146]","[-195.62952014676114,41.58233816355186]",48,400,0,"[295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,295,314,363,453,551,622,655,659,659,637,561,421,281,161,78,42,24,4,-13,-28,-47,-67,-82,-119,-144,-174,-197,-210,-210,-210,-210,-210,-210,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211]","[-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-142,-117,-61,29,137,235,283,293,296,303,340,398,434,456,464,466,466,466,458,435,382,312,242,186,174,170,165,162,162,162,162,162,162,160,150,146,145,141,135,126,119,113,104,90,67,47]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.007700000002980545,0.033300000011919906,0.049100000008941436,0.0654000000059618,0.08210000000893913,0.09870000000297807,0.11560000000893922,0.13210000000893984,0.14870000000297878,0.16560000000893993,0.18240000000595913,0.19899999999999807,0.21670000000298018,0.231900000005961,0.2487000000029802,0.26510000000893896,0.28200000000000003,0.29860000000893905,0.3154000000059618,0.33210000000893913,0.34870000000297807,0.3656000000089392,0.38220000000297816,0.3991000000089393,0.4151000000089411,0.4319000000059603,0.44849999999999923,0.4652000000029801,0.4819999999999993,0.4987000000029802,0.5154000000059611,0.5324000000059605,0.5492000000029797,0.5662000000029792,0.5824999999999996,0.5989000000059583,0.6151000000089404,0.6319999999999979,0.6486000000089405,0.6653000000119214,0.681800000011922,0.6984999999999992,0.7154000000059604,0.7321000000089413,0.7487000000029802,0.7656000000089414,0.7833000000119199,0.7989000000059612,0.8151000000089397,0.8316000000089403,0.8483000000119212,0.8652000000029787,0.8819000000059596,0.8984000000059602,0.9151000000089411,0.932500000000001,0.9489999999999981,0.9656000000089406,0.9824000000059598,0.9988000000119222,1.0149000000059587,1.0319000000059617,1.0483000000119205,1.0652000000029815,1.0817000000029786,1.0984000000059595,1.1155000000000008,1.1322000000029782,1.1487000000029788,1.1658000000119202,1.1823000000119208,1.198400000005961,1.2152000000029801,1.2318000000119191,1.2485,1.2649000000059587,1.2818000000119234,1.298300000011924,1.3151000000089432,1.3317000000029786,1.348400000005963,1.3649999999999984,1.3819000000059596,1.398500000000002,1.4152000000029794,1.4314999999999962,1.4482000000029807,1.4651000000089418,1.4817000000029772,1.4984000000059616,1.5148000000119204,1.532,1.5485000000000007,1.56530000001192,1.581500000000002,1.5983000000119212,1.6149999999999984,1.631600000008941,1.6484000000059602,1.6649000000059608,1.6819000000059567,1.6984000000059574,1.7152000000029766,1.7315000000000005,1.7483000000119198,1.7649000000059623,1.7819000000059582,1.7988000000119193,1.8150000000000013,1.8317000000029786,1.848400000005963,1.8649000000059566,1.8817000000029829,1.8984000000059602,1.9154000000059632,1.9319999999999986,1.9489000000059598,1.9653000000119185,1.9823000000119215,1.9988000000119222,2.0154000000059575,2.031400000005963,2.0479999999999983,2.0647000000029827,2.08140000000596,2.098400000005963,2.1152000000029823,2.131700000002983,2.1489000000059626,2.16560000000894,2.1822000000029824,2.198800000011918,2.2154000000059604,2.2316000000089424,2.248000000000001,2.265200000002981,2.2816000000089396,2.2986000000089426,2.3150000000000013]",,0,0,0,0,1,participant,2022-09-22_12h34.49.126,GoFitts,2022.1.4,Win32,59.72288581,,,,
,,,,"[-195.62952014676114,41.58233816355186]","[200,0]",48,400,0,"[-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-211,-210,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-208,-206,-197,-171,-121,-74,-52,-28,19,89,171,193,205]","[47,42,42,42,42,42,42,42,42,42,42,42,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,41,51,79,104,112,113,97,66,31,24,20]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0007999999970209615,0.015599999994037717,0.032399999991056916,0.04909999999403425,0.06579999999701869,0.08239999999105407,0.09879999999701994,0.11549999999999727,0.13229999999701647,0.14919999998807754,0.16569999998807816,0.18229999999702073,0.1991999999880747,0.21559999999404056,0.23209999999404118,0.2485999999940347,0.26529999999701914,0.2821999999880802,0.29869999998807373,0.3152999999970163,0.3323999999910541,0.34850000000000136,0.3653999999910553,0.38229999999701647,0.3987999999970171,0.41569999998807816,0.4320999999940369,0.4488999999910561,0.46559999999404056,0.4825000000000017,0.49939999999105567,0.5155999999940377,0.5318999999910545,0.5488999999910575,0.5655000000000001,0.5820999999940355,0.5987999999970199,0.6152999999970206,0.6320999999940398,0.6485999999940404,0.6655000000000015,0.6821999999880788,0.6988999999910561,0.7152999999970149,0.7323999999910598,0.7490999999940371,0.7657999999970144,0.7821999999880802,0.7988999999910575,0.8153999999910582,0.8323999999910541,0.8490999999940385]",,1,0,1,0,1,participant,2022-09-22_12h34.49.126,GoFitts,2022.1.4,Win32,59.72288581,,,,
,,,,"[200,0]","[-195.62952014676114,-41.58233816355181]",48,400,0,"[205,206,206,206,206,206,206,209,211,216,234,335,395,395,410,395,327,247,212,212,211,211,211,196,165,113,55,2,-37,-62,-71,-72,-73,-76,-83,-96,-114,-131,-133,-133,-134,-130,-128,-127,-128,-133,-138,-149,-164,-181]","[20,20,20,20,20,20,20,20,16,6,-19,-92,-111,-111,-113,-105,-76,-47,-35,-35,-33,-33,-32,-36,-49,-66,-84,-97,-109,-117,-118,-118,-118,-114,-108,-99,-87,-77,-76,-76,-73,-68,-60,-49,-43,-39,-38,-38,-38,-41]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0005000000000023874,0.015999999999998238,0.032299999997022155,0.049199999988076115,0.06559999999404198,0.08239999999106118,0.09929999999702233,0.11599999999999966,0.13289999999106072,0.14939999999106135,0.16609999999403868,0.18269999998808117,0.19969999998807708,0.2161999999880777,0.23319999998808072,0.25009999999404187,0.2663999999910587,0.28249999999999886,0.29929999999701806,0.3157999999970187,0.33269999998807975,0.34899999999999665,0.3658999999910577,0.38259999999404215,0.3994999999999962,0.4160999999940387,0.4325999999940393,0.44929999999701664,0.46659999999403823,0.482999999999997,0.49939999999105567,0.5160999999940401,0.5328999999910593,0.5495000000000019,0.5663999999910558,0.5827999999970217,0.5989999999999966,0.615699999988081,0.6321999999880816,0.6487999999970171,0.6655999999940363,0.6823999999910555,0.6992999999970166,0.7158999999910591,0.7325999999940365,0.7490999999940371,0.7657999999970215,0.7822999999970222,0.7993999999910599,0.8158999999910606]",,2,0,2,0,1,participant,2022-09-22_12h34.49.126,GoFitts,2022.1.4,Win32,59.72288581,,,,
,,,,"[-195.62952014676114,-41.58233816355181]","[182.70909152852016,81.34732861516002]",48,400,0,"[-181,-188,-188,-188,-188,-188,-188,-192,-193,-193,-193,-193,-193,-193,-193,-193,-191,-177,-124,-43,19,81,105,112,112,112,112,113,115,121,123,124,124,124,124,124,127,130,142,153,154,154,154,154,154,154,154,157,161]","[-41,-42,-42,-42,-42,-42,-42,-43,-42,-41,-41,-41,-41,-41,-41,-41,-38,-30,-3,35,62,84,88,90,90,90,90,90,90,91,92,92,92,92,92,92,92,92,91,91,91,91,91,91,91,91,91,91,91]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0009000000059629087,0.016100000008940185,0.03260000000894081,0.0492000000029833,0.0660000000000025,0.08240000000596126,0.09929999999702233,0.1159000000059649,0.13279999999701886,0.1495000000000033,0.16590000000596206,0.18250000000000455,0.19950000000000045,0.21610000000894303,0.23260000000894365,0.24950000000000472,0.267000000000003,0.2826000000089408,0.2992000000029833,0.3157000000029839,0.33290000000596365,0.34920000000298046,0.36629999999702534,0.3827000000029841,0.3992999999970195,0.41570000000298535,0.43250000000000455,0.44950000000000045,0.4666000000089454,0.4829000000059622,0.4997000000029814,0.5157999999970215,0.5322999999970222,0.5487000000029809,0.5655000000000001,0.5822000000029846,0.5995000000000061,0.6164000000059566,0.6329999999999991,0.6491000000089393,0.6662999999970189,0.6822000000029824,0.6991000000089365,0.7155000000000022,0.7322999999970214,0.7491000000089407,0.7657000000029761,0.782799999997021,0.7994999999999983]",,3,0,3,0,1,participant,2022-09-22_12h34.49.126,GoFitts,2022.1.4,Win32,59.72288581,,,,
,,,,"[182.70909152852016,81.34732861516002]","[-161.80339887498948,-117.5570504584946]",48,400,0,"[161,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,167,140,99,41,-20,-59,-69,-69,-69,-69,-69,-69,-69,-69,-69,-69,-71,-74,-83,-96,-103,-107,-110,-113,-116,-122,-129,-131,-133,-133,-133,-133,-138,-148]","[91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,89,87,56,0,-55,-106,-136,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-143,-139,-122,-108,-105,-105,-105,-107,-114,-121,-127,-133,-135,-135,-135,-135,-135,-130]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.000799999997013856,0.01589999999105629,0.03229999999701505,0.048799999997015675,0.06569999998807674,0.0820999999940355,0.0988999999910547,0.1156999999880739,0.13229999999701647,0.14869999998807515,0.1655999999940363,0.1823999999910555,0.19879999999701425,0.21559999999403345,0.2322999999970179,0.24919999998807896,0.26719999998807964,0.2833999999910546,0.2989999999999995,0.3157999999970187,0.332499999999996,0.3488999999910547,0.36559999999403914,0.38239999999105834,0.3987999999970171,0.4153999999910596,0.43199999999999505,0.44879999999701425,0.46539999999105675,0.4819999999999993,0.4985999999940347,0.5151999999880772,0.5318999999910545,0.5488999999910575,0.5657999999970187,0.582499999999996,0.5995999999940338,0.6170999999940392,0.6335999999940398,0.6493999999910542,0.6655999999940363,0.6820999999940369,0.6989999999999981,0.7152999999970149,0.7319999999999993,0.7487999999970185,0.7650999999940353,0.7818999999910545,0.7984999999999971,0.8156999999880767,0.8326999999880726]",,4,0,4,0,1,participant,2022-09-22_12h34.49.126,GoFitts,2022.1.4,Win32,59.72288581,,,,
,,,,"[-161.80339887498948,-117.5570504584946]","[133.82612127177165,148.62896509547886]",48,400,0,"[-148,-166,-181,-181,-185,-184,-183,-182,-182,-182,-182,-182,-182,-182,-182,-182,-179,-169,-136,-88,-35,7,39,57,57,57,57,57,60,64,71,78,91,104,108,108,108,108,108,109,109,110,111,113,116]","[-130,-123,-117,-117,-113,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-110,-108,-98,-64,-3,71,136,182,204,204,204,204,204,205,205,196,189,181,177,176,176,176,176,176,176,173,171,168,165,163]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0009000000059629087,0.015900000005963477,0.033300000011919906,0.049100000008941436,0.06610000000894445,0.0823000000119194,0.0993000000119224,0.11570000000298108,0.13210000000893984,0.14890000000595904,0.16560000000894348,0.18240000000596268,0.19880000001192144,0.2157000000029825,0.2327000000029784,0.24930000001192099,0.2658000000119216,0.2821000000089384,0.2992000000029833,0.31540000000595825,0.33220000000298455,0.3491000000089386,0.3654000000059625,0.3824000000059584,0.39890000000595904,0.41550000000000153,0.43220000000297887,0.44880000001192144,0.4660000000000011,0.48280000001192036,0.49920000000297904,0.5154000000059611,0.5324000000059641,0.5488000000119229,0.5657000000029839,0.5821000000089427,0.5986000000089433,0.6152000000029787,0.6319999999999979,0.6491000000089429,0.6656000000089435,0.6819000000059603,0.6988000000119214,0.7157000000029825,0.7323000000119251]",,5,0,5,0,1,participant,2022-09-22_12h34.49.126,GoFitts,2022.1.4,Win32,59.72288581,,,,
,,,,"[133.82612127177165,148.62896509547886]","[-100.00000000000009,-173.2050807568877]",48,400,0,"[116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,108,91,58,-7,-41,-62,-71,-75,-79,-83,-85,-85,-85,-85,-86,-86,-86,-86,-86,-86,-87]","[163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,161,152,127,66,26,1,-19,-36,-52,-66,-75,-75,-76,-77,-79,-82,-86,-93,-113,-137,-154]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0004000000059605213,0.015599999994037717,0.032400000005957,0.049500000000001876,0.06590000000596064,0.08270000000297983,0.09949999999999903,0.11629999999701823,0.132700000002977,0.1490000000000009,0.1655999999940363,0.18220000000297887,0.19899999999999807,0.21579999999701727,0.2322999999970179,0.2515999999940419,0.2665999999940354,0.2829000000059594,0.29959999999403664,0.31609999999403726,0.33270000000297983,0.34920000000298046,0.3657000000029811,0.3824000000059584,0.39940000000596143,0.41550000000000153,0.4325999999940393,0.44879999999702136,0.46609999999403584,0.48259999999403647,0.49900000000000233,0.5159999999999982,0.5325999999940407,0.5489999999999995,0.5657000000029768,0.5822999999970193,0.5989999999999966]",,6,0,6,0,1,participant,2022-09-22_12h34.49.126,GoFitts,2022.1.4,Win32,59.72288581,,,,
,,,,"[-100.00000000000009,-173.2050807568877]","[61.80339887498949,190.2113032590307]",48,400,0,"[-87,-87,-87,-87,-87,-87,-88,-88,-88,-88,-91,-93,-95,-95,-95,-95,-95,-94,-92,-88,-79,-54,-24,-5,0,1,1,1,1,1,1,1,1,5,7,11,14,20,35,57]","[-154,-164,-164,-164,-164,-164,-166,-166,-166,-166,-168,-173,-177,-177,-177,-177,-177,-172,-162,-122,-36,61,126,161,181,187,187,187,187,187,187,187,187,189,191,191,191,192,197,206]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00039999999106044015,0.016399999991058678,0.032700000002982677,0.049599999994036637,0.06649999999999778,0.08320000000298222,0.10000000000000142,0.11720000000298114,0.13349999999999795,0.15009999999404045,0.1672000000029783,0.18299999999999983,0.19970000000297716,0.21629999999701965,0.232999999999997,0.2497999999970162,0.26620000000298205,0.28320000000297796,0.2998999999910552,0.3162999999970211,0.33289999999105646,0.3495999999940409,0.3663999999910601,0.383399999991056,0.39970000000298,0.41639999999105726,0.4330999999940417,0.44970000000297716,0.46629999999701965,0.48289999999105504,0.4997999999970162,0.5165000000000006,0.533099999994036,0.5502999999970157,0.5667999999970164,0.5828999999910565,0.5997000000029828,0.6162999999970182,0.6328999999910607,0.6497999999970219]",,7,0,7,0,1,participant,2022-09-22_12h34.49.126,GoFitts,2022.1.4,Win32,59.72288581,,,,
,,,,"[61.80339887498949,190.2113032590307]","[-20.905692653530846,-198.90437907365467]",48,400,0,"[57,65,66,66,66,66,66,66,65,61,58,58,57,53,48,37,10,-25,-40,-45,-52,-53,-55,-59,-60,-60,-60,-60,-53,-46,-44,-36,-22,-8,5,10,12,12,12,12,11,11,7,3]","[206,211,212,212,212,212,212,212,212,211,211,211,210,207,205,199,175,124,95,71,29,-23,-75,-116,-137,-144,-146,-147,-151,-156,-156,-156,-158,-160,-161,-161,-162,-165,-169,-172,-177,-182,-189,-198]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0006999999880790142,0.016199999988074865,0.0328999999910593,0.049199999988076115,0.06579999999701869,0.0827999999970146,0.09929999999701522,0.11579999999701585,0.13309999999403743,0.14959999999403806,0.16589999999105487,0.18269999998807407,0.19929999999701664,0.21609999999403584,0.23279999999702028,0.24989999999105805,0.26619999998807486,0.28299999999999415,0.29949999999999477,0.3157999999970187,0.33269999998807265,0.34949999999999903,0.36599999999999966,0.38309999999403743,0.4001999999880752,0.4167999999970178,0.43389999999105555,0.4503999999910562,0.46679999999701494,0.48289999999105504,0.49969999998807424,0.5162999999970168,0.5325999999940336,0.5494999999999948,0.5661999999880791,0.5825999999940379,0.5991999999880733,0.6159999999999997,0.6326999999880769,0.6490999999940357,0.6656999999880782,0.682799999997016,0.6995999999940352,0.7156999999880753]",,8,0,8,0,1,participant,2022-09-22_12h34.49.126,GoFitts,2022.1.4,Win32,59.72288581,,,,
,,,,"[-20.905692653530846,-198.90437907365467]","[-20.905692653530668,198.90437907365467]",48,400,0,"[3,-1,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,3,12,19,20,-24,-117,-187,-214,-214,-207,-202,-195,-184,-169,-155,-143,-141,-141,-140,-136,-129,-119,-114,-109,-103,-100,-97,-94,-87,-77,-65,-65,-65,-65,-65,-62,-58,-56,-54,-48,-38]","[-198,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205,-205,-204,-202,-195,-183,-152,-68,45,128,156,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,166,169,170,172,173,178,184,184,184,184,184,185,186,187,188,188,189]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00029999999701857405,0.01640000000595876,0.03309999999404312,0.049500000000001876,0.06640000000596302,0.0827999999970217,0.09970000000298285,0.11650000000000205,0.1329000000059608,0.1495000000000033,0.16659999999404107,0.18279999999702312,0.19959999999404232,0.2162000000029778,0.23279999999702028,0.2494999999999976,0.26620000000298205,0.2829000000059594,0.2995000000000019,0.3162000000029792,0.3327999999970217,0.3495999999940409,0.3664000000059602,0.38329999999702125,0.39959999999403806,0.4162999999970225,0.43299999999999983,0.4495999999940423,0.4662000000029778,0.4829000000059622,0.4997999999970233,0.5164000000059588,0.5330999999940431,0.5495999999940437,0.5670000000000002,0.5842999999970218,0.6005999999940386,0.6164000000059602,0.6330000000000027,0.6495000000000033,0.6664000000059644,0.6827999999970231,0.699799999997019,0.7169999999999987,0.7327999999970203,0.75,0.7664000000059588,0.7827999999970174,0.79940000000596,0.8160999999940373,0.8327999999970217,0.8499000000059596,0.8662999999970182,0.8829000000059608,0.8997999999970219,0.9164000000059644,0.9327999999970231]",,9,0,9,0,1,participant,2022-09-22_12h34.49.126,GoFitts,2022.1.4,Win32,59.72288581,,,,
