key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,from,to,w,a,sequence_loop.thisN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_2.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
return,0.8542,return,0.1199,"[361.5999755859375,-76.80001831054688]","[30.901699437494745,95.10565162951535]",40,200,0,"[361.5999755859375,361.5999755859375,361.5999755859375,361.5999755859375,361.5999755859375,361.5999755859375,361.5999755859375,361.5999755859375,361.5999755859375,361.5999755859375,357.5999755859375,350.4000244140625,340.800048828125,328.800048828125,314.4000244140625,296,274.4000244140625,253.60003662109375,232.79998779296875,213.60003662109375,200.79998779296875,190.4000244140625,179.20001220703125,170.4000244140625,160.79998779296875,150.4000244140625,138.4000244140625,128.79998779296875,119.20001220703125,108.79998779296875,93.60003662109375,70.4000244140625,37.60003662109375,6.4000244140625,-10.39996337890625,-17.5999755859375,-19.20001220703125,-20,-18.39996337890625,-14.39996337890625,-10.39996337890625,-6.39996337890625,0,7.20001220703125,13.60003662109375]","[-76.80001831054688,-76.80001831054688,-76.80001831054688,-76.80001831054688,-76.80001831054688,-76.80001831054688,-76.80001831054688,-76.80001831054688,-76.80001831054688,-76.80001831054688,-76.80001831054688,-76.80001831054688,-74.39999389648438,-71.20001220703125,-66.39999389648438,-60.800018310546875,-53.600006103515625,-46.399993896484375,-38.399993896484375,-31.20001220703125,-25.600006103515625,-16.800018310546875,-7.20001220703125,4,16.79998779296875,28.79998779296875,38.399993896484375,44.79998779296875,49.600006103515625,52,56,61.600006103515625,67.19998168945312,72,75.19998168945312,79.19998168945312,79.19998168945312,82.39999389648438,83.19998168945312,84,84.79998779296875,85.60000610351562,85.60000610351562,85.60000610351562,85.60000610351562]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0034000000022347265,0.020700000002980445,0.03210000000149016,0.048800000000745136,0.06510000000148963,0.08210000000148998,0.09890000000223509,0.1157000000029802,0.13190000000223545,0.14870000000297967,0.16549999999999976,0.1825000000000001,0.19870000000298038,0.21540000000223536,0.23210000000149034,0.24890000000223544,0.26530000000074505,0.28200000000000003,0.29870000000298,0.3155000000000001,0.33210000000149,0.3484999999999996,0.3654000000022348,0.3819999999999997,0.3985000000000003,0.4152000000029803,0.43230000000074487,0.4488000000007446,0.46530000000074523,0.48210000000149034,0.4988000000007453,0.5152000000029799,0.5319000000022349,0.5484999999999998,0.5652000000029798,0.5819000000022347,0.5984999999999996,0.6154000000022348,0.6322000000029799,0.6485000000000003,0.6651000000014902,0.6821000000014896,0.6986000000014903,0.7152000000029801,0.7319000000022351]",,0,0,0,0,1,1,001,2022-07-05_16h27.53.515,GoFitts,2022.1.4,Win32,60.07449237,,,,
,,,,"[30.901699437494745,95.10565162951535]","[-10.452846326765423,-99.45218953682733]",40,200,0,"[13.60003662109375,17.60003662109375,20,21.60003662109375,22.4000244140625,23.20001220703125,23.20001220703125,23.20001220703125,23.20001220703125,23.20001220703125,23.20001220703125,23.20001220703125,23.20001220703125,23.20001220703125,21.60003662109375,19.20001220703125,17.60003662109375,15.20001220703125,10.4000244140625,7.20001220703125,4,0,-4,-8]","[85.60000610351562,85.60000610351562,85.60000610351562,86.39999389648438,86.39999389648438,86.39999389648438,86.39999389648438,86.39999389648438,86.39999389648438,86.39999389648438,86.39999389648438,86.39999389648438,86.39999389648438,85.60000610351562,68.79998779296875,39.199981689453125,7.199981689453125,-20,-40.800018310546875,-52,-62.399993896484375,-72,-80,-88]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0008999999985102036,0.015699999999254644,0.03239999999850962,0.0490999999977646,0.0658999999985097,0.08269999999925481,0.09909999999776442,0.11559999999776505,0.13239999999851015,0.14929999999701948,0.16559999999776487,0.18239999999850998,0.19899999999999984,0.2155999999977647,0.23249999999999993,0.24909999999776478,0.26569999999925464,0.2823999999985096,0.2990999999977646,0.31569999999925447,0.33239999999850944,0.3490999999977644,0.3656999999992552,0.38239999999851015]",,1,0,1,0,1,1,001,2022-07-05_16h27.53.515,GoFitts,2022.1.4,Win32,60.07449237,,,,
,,,,"[-10.452846326765423,-99.45218953682733]","[-10.452846326765334,99.45218953682733]",40,200,0,"[-8,-11.20001220703125,-13.5999755859375,-15.20001220703125,-15.20001220703125,-15.20001220703125,-15.20001220703125,-15.20001220703125,-15.20001220703125,-15.20001220703125,-11.20001220703125,-7.20001220703125,-3.20001220703125,0.79998779296875,2.4000244140625,0.79998779296875]","[-88,-96,-103.20001220703125,-107.20001220703125,-107.20001220703125,-107.20001220703125,-107.20001220703125,-107.20001220703125,-104.79998779296875,-88.79998779296875,-64,-28.800018310546875,4.79998779296875,40,67.19998168945312,87.19998168945312]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0005999999977648329,0.016300000000745385,0.03289999999851023,0.04969999999925534,0.06619999999925508,0.08289999999851005,0.09939999999850979,0.11600000000000055,0.13280000000074565,0.14959999999776485,0.1665000000000001,0.18299999999999983,0.1996999999992548,0.21630000000074556,0.2328999999985104,0.24969999999925552]",,2,0,2,0,1,1,001,2022-07-05_16h27.53.515,GoFitts,2022.1.4,Win32,60.07449237,,,,
,,,,"[-10.452846326765334,99.45218953682733]","[30.901699437494724,-95.10565162951536]",40,200,0,"[0.79998779296875,-1.5999755859375,-5.5999755859375,-9.5999755859375,-14.39996337890625,-17.5999755859375,-19.20001220703125,-20.79998779296875,-20.79998779296875,-20.79998779296875,-20.79998779296875,-20.79998779296875,-18.39996337890625,-14.39996337890625,-9.5999755859375,-5.5999755859375,0.79998779296875,4.79998779296875,7.20001220703125,9.60003662109375,12,13.60003662109375,16,16.79998779296875,18.4000244140625,20]","[87.19998168945312,103.19998168945312,112.79998779296875,119.19998168945312,123.19998168945312,123.19998168945312,123.19998168945312,123.19998168945312,123.19998168945312,123.19998168945312,123.19998168945312,123.19998168945312,118.39999389648438,104.79998779296875,85.60000610351562,55.199981689453125,22.399993896484375,-4,-27.20001220703125,-44,-56,-66.39999389648438,-71.20001220703125,-74.39999389648438,-77.60000610351562,-83.20001220703125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0006999999992549633,0.016399999998510495,0.03280000000074512,0.0495000000000001,0.06659999999776467,0.0830999999977653,0.09969999999925516,0.11630000000074503,0.13269999999925552,0.1493999999985105,0.16600000000000037,0.18269999999925535,0.19950000000000045,0.2160999999977653,0.2328000000007453,0.24950000000000028,0.2660999999977651,0.2831999999992556,0.2995000000000001,0.3161999999992551,0.33289999999851005,0.3494999999999999,0.36600000000000055,0.3826999999992555,0.3993999999985105,0.4160999999977655]",,3,0,3,0,1,1,001,2022-07-05_16h27.53.515,GoFitts,2022.1.4,Win32,60.07449237,,,,
,,,,"[30.901699437494724,-95.10565162951536]","[-49.99999999999998,86.60254037844388]",40,200,0,"[20,21.60003662109375,22.4000244140625,22.4000244140625,22.4000244140625,22.4000244140625,22.4000244140625,22.4000244140625,22.4000244140625,22.4000244140625,20.79998779296875,8,-8,-25.5999755859375,-40,-50.39996337890625]","[-83.20001220703125,-88,-91.20001220703125,-91.20001220703125,-91.20001220703125,-91.20001220703125,-91.20001220703125,-91.20001220703125,-91.20001220703125,-91.20001220703125,-85.60003662109375,-61.600006103515625,-29.600006103515625,7.199981689453125,45.600006103515625,77.60000610351562]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0004999999999997229,0.016400000002235515,0.03300000000000036,0.0524000000022351,0.06630000000074521,0.08300000000000018,0.09960000000149005,0.1161999999992549,0.133,0.14960000000148987,0.16640000000223498,0.18310000000148996,0.19960000000149059,0.2164000000022357,0.23310000000149067,0.2496000000014904]",,4,0,4,0,1,1,001,2022-07-05_16h27.53.515,GoFitts,2022.1.4,Win32,60.07449237,,,,
,,,,"[-49.99999999999998,86.60254037844388]","[66.91306063588584,-74.3144825477394]",40,200,0,"[-50.39996337890625,-55.20001220703125,-57.5999755859375,-59.20001220703125,-59.20001220703125,-59.20001220703125,-59.20001220703125,-59.20001220703125,-59.20001220703125,-59.20001220703125,-59.20001220703125,-56,-46.39996337890625,-28.79998779296875,-1.5999755859375,25.60003662109375,44,57.60003662109375,64]","[77.60000610351562,99.19998168945312,112.79998779296875,118.39999389648438,119.19998168945312,119.19998168945312,119.19998168945312,119.19998168945312,119.19998168945312,119.19998168945312,119.19998168945312,109.60000610351562,92,63.199981689453125,24.79998779296875,-6.399993896484375,-32.800018310546875,-52.800018310546875,-65.60000610351562]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0006999999992549633,0.015899999998509884,0.03249999999999975,0.04959999999776432,0.06579999999701958,0.08239999999851033,0.09899999999999931,0.11579999999702029,0.13239999999850927,0.14909999999776513,0.16579999999701922,0.1825000000000001,0.1991999999992542,0.21589999999851006,0.23249999999999904,0.24909999999776478,0.26609999999776424,0.28249999999999975,0.2990999999977655]",,5,0,5,0,1,1,001,2022-07-05_16h27.53.515,GoFitts,2022.1.4,Win32,60.07449237,,,,
,,,,"[66.91306063588584,-74.3144825477394]","[-80.90169943749473,58.77852522924732]",40,200,0,"[64,67.20001220703125,67.20001220703125,68,69.60003662109375,72,73.60003662109375,73.60003662109375,73.60003662109375,73.60003662109375,72.79998779296875,65.60003662109375,51.20001220703125,20.79998779296875,-11.20001220703125,-31.20001220703125,-46.39996337890625,-55.20001220703125,-57.5999755859375,-59.20001220703125,-63.20001220703125,-67.20001220703125]","[-65.60000610351562,-72,-75.20001220703125,-76,-79.20001220703125,-83.20001220703125,-84,-85.60003662109375,-85.60003662109375,-85.60003662109375,-85.60003662109375,-81.60003662109375,-69.60000610351562,-45.600006103515625,-19.20001220703125,-0.800018310546875,14.399993896484375,26.399993896484375,32.79998779296875,35.199981689453125,40.79998779296875,46.399993896484375]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0005000000000006111,0.016299999997020365,0.03289999999851112,0.0495000000000001,0.0663999999985112,0.08289999999851005,0.09959999999776592,0.11639999999851014,0.13289999999851076,0.14959999999776485,0.16639999999851085,0.18269999999925624,0.19939999999851032,0.21629999999701965,0.2328999999985104,0.24959999999776628,0.2663999999985105,0.2828999999985111,0.2995000000000001,0.3162999999970211,0.3327999999970199,0.3495000000000008]",,6,0,6,0,1,1,001,2022-07-05_16h27.53.515,GoFitts,2022.1.4,Win32,60.07449237,,,,
,,,,"[-80.90169943749473,58.77852522924732]","[91.3545457642601,-40.67366430758001]",40,200,0,"[-67.20001220703125,-70.39996337890625,-72.79998779296875,-74.39996337890625,-74.39996337890625,-74.39996337890625,-74.39996337890625,-74.39996337890625,-71.20001220703125,-64,-52,-29.5999755859375,-2.39996337890625,26.4000244140625,54.4000244140625,74.4000244140625,85.60003662109375,89.60003662109375,89.60003662109375,89.60003662109375,89.60003662109375,89.60003662109375,89.60003662109375,88]","[46.399993896484375,51.199981689453125,55.199981689453125,56,56.79998779296875,56.79998779296875,56.79998779296875,56.79998779296875,53.600006103515625,48.79998779296875,42.399993896484375,33.600006103515625,23.199981689453125,11.199981689453125,-0.800018310546875,-8,-14.399993896484375,-16,-16,-16,-16,-16,-16,-21.600006103515625]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00040000000223372467,0.01630000000074361,0.032900000002234364,0.049700000002978584,0.06620000000297921,0.08299999999999841,0.09960000000148916,0.11630000000074503,0.132900000002234,0.14970000000298,0.16630000000074396,0.1828000000007446,0.19970000000297894,0.21630000000074467,0.23290000000223365,0.24960000000148952,0.26640000000223374,0.2829999999999995,0.299400000002235,0.3161000000014891,0.3329000000022351,0.3494000000022339,0.36599999999999966,0.3832000000029794]",,7,0,7,0,1,1,001,2022-07-05_16h27.53.515,GoFitts,2022.1.4,Win32,60.07449237,,,,
,,,,"[91.3545457642601,-40.67366430758001]","[-97.81476007338057,20.79116908177593]",40,200,0,"[88,88,88,88.79998779296875,88.79998779296875,88.79998779296875,88.79998779296875,81.60003662109375,70.4000244140625,52,29.60003662109375,3.20001220703125,-20.79998779296875,-44.79998779296875,-59.20001220703125,-67.20001220703125,-71.20001220703125,-73.5999755859375,-77.5999755859375,-82.39996337890625]","[-21.600006103515625,-28,-32,-35.20001220703125,-35.20001220703125,-35.20001220703125,-35.20001220703125,-32.800018310546875,-25.600006103515625,-16,-7.20001220703125,0,5.600006103515625,12.79998779296875,16.79998779296875,19.199981689453125,20,20.79998779296875,20.79998779296875,22.399993896484375]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.000600000001488965,0.016100000001490145,0.03260000000148899,0.04930000000074486,0.06569999999925358,0.0826000000014897,0.0993000000007438,0.11589999999850953,0.13269999999925375,0.14919999999925437,0.16589999999851024,0.18260000000148935,0.19930000000074521,0.21589999999850917,0.23289999999850863,0.24919999999925402,0.2658999999985099,0.28280000000074423,0.29919999999925473,0.3158000000007437]",,8,0,8,0,1,1,001,2022-07-05_16h27.53.515,GoFitts,2022.1.4,Win32,60.07449237,,,,
,,,,"[-97.81476007338057,20.79116908177593]","[100,0]",40,200,0,"[-82.39996337890625,-85.5999755859375,-87.20001220703125,-87.20001220703125,-87.20001220703125,-87.20001220703125,-87.20001220703125,-84,-66.39996337890625,-32.79998779296875,12.79998779296875,56.79998779296875,94.4000244140625]","[22.399993896484375,23.199981689453125,24,24,24,24,24,24,23.199981689453125,20.79998779296875,17.600006103515625,15.199981689453125,10.399993896484375]","[0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0005000000000006111,0.016300000000745385,0.03290000000223614,0.04969999999925534,0.0663000000007461,0.08269999999925481,0.0994000000022357,0.11650000000000027,0.13290000000223579,0.14969999999925498,0.1661999999992556,0.1828000000007446,0.19950000000000045]",,9,0,9,0,1,1,001,2022-07-05_16h27.53.515,GoFitts,2022.1.4,Win32,60.07449237,,,,
