Sequence,Trial,A,W,MT,Errors,TRE,TAC,MDC,ODC,MV,ME,MO
0,0,475,40,1411,0,0,1,2,2,41.79,30.48,12.73
0,1,475,40,598,0,0,1,1,0,11.63,9.71,2.13
0,2,475,40,699,0,0,0,3,1,11.45,15.42,15.31
0,3,475,40,914,0,0,2,2,2,28.10,22.94,-12.43
0,4,475,40,832,0,0,3,1,1,16.49,15.38,12.82
0,5,475,40,981,0,0,0,1,2,27.35,27.84,-27.84
0,6,475,40,1015,0,0,1,1,1,10.54,12.37,9.09
0,7,475,40,698,0,0,1,2,1,17.28,19.37,-18.99
0,8,475,40,801,0,0,1,1,1,4.83,4.40,1.85
0,9,475,40,730,0,0,0,1,0,24.29,25.56,-25.56
0,10,475,40,765,0,0,2,2,2,23.92,19.48,-14.57
0,11,475,40,799,0,0,1,2,2,55.54,47.90,-40.62
0,12,475,40,831,0,0,1,1,1,38.41,33.80,33.50
0,13,475,40,1132,0,0,0,3,3,20.27,34.55,-34.49
0,14,475,40,765,0,0,1,2,0,34.31,31.60,-29.74
1,0,625,25,1479,0,0,0,3,2,16.62,13.79,13.55
1,1,625,25,899,0,0,0,1,1,54.26,55.97,55.97
1,2,625,25,2397,0,0,1,7,6,22.66,20.78,12.44
1,3,625,25,966,0,0,1,1,1,24.56,18.97,17.60
1,4,625,25,1498,0,0,1,4,3,29.18,37.45,-36.40
1,5,625,25,1048,0,0,0,1,2,61.00,62.34,62.34
1,6,625,25,1863,0,0,2,4,1,15.25,15.04,11.76
1,7,625,25,849,0,0,0,1,1,45.79,46.70,-46.49
1,8,625,25,1081,0,0,1,1,2,16.74,13.44,-8.88
1,9,625,25,1231,0,0,1,3,2,34.58,25.22,-0.56
1,10,625,25,999,0,0,1,4,0,13.33,12.27,-9.45
1,11,625,25,749,0,0,1,1,2,23.23,21.36,-17.59
1,12,625,25,1048,0,0,0,1,2,10.20,13.35,-13.35
1,13,625,25,1447,0,0,1,3,2,18.03,16.15,4.63
1,14,625,25,1317,0,0,0,2,0,5.18,4.98,4.70
2,0,700,20,1451,0,0,0,2,2,109.64,64.99,-64.85
2,1,700,20,1314,0,0,3,4,1,36.20,25.65,-21.48
2,2,700,20,1048,0,0,0,2,0,27.55,27.73,27.65
2,3,700,20,982,0,0,3,3,2,29.85,25.65,-22.19
2,4,700,20,1464,0,0,1,3,2,18.88,14.87,2.49
2,5,700,20,582,0,0,2,2,0,3.93,4.94,-3.77
2,6,700,20,1398,0,0,2,5,2,9.79,12.85,-11.84
2,7,700,20,1264,0,0,2,2,1,32.31,29.10,-24.98
2,8,700,20,1411,0,0,2,3,3,19.99,14.45,5.86
2,9,700,20,1136,0,0,1,2,1,37.01,28.29,-18.96
2,10,700,20,915,0,0,2,2,1,30.09,18.41,-6.81
2,11,700,20,1265,0,0,2,4,3,21.29,17.47,4.84
2,12,700,20,832,0,0,2,2,1,24.33,23.47,-21.61
2,13,700,20,782,0,0,0,1,1,9.31,6.39,6.05
2,14,700,20,898,0,0,0,2,1,5.09,4.04,-2.90
3,0,170,77,1218,0,0,0,1,0,51.63,29.44,29.40
3,1,170,77,583,0,0,1,2,3,11.72,12.54,10.50
3,2,170,77,482,0,0,0,0,1,4.62,13.35,-13.35
3,3,170,77,482,0,0,0,0,1,3.37,5.15,-5.15
3,4,170,77,615,0,0,0,1,1,7.37,12.79,-12.79
3,5,170,77,415,0,0,0,0,1,4.70,7.26,-7.26
3,6,170,77,432,0,0,1,1,1,2.37,2.58,1.91
3,7,170,77,515,0,0,0,1,1,6.62,5.52,-0.03
