sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,from,to,w,a,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.222483599998668,None,return,1.5444343999988632,8.222483599998668,None,,,,,,,,,,,,,,,,,,,,1,001,2022-07-05_15h55.30.651,GoFitts,2022.1.4,60.04040719417857,
0,0,0,0,0,0,0,0,,,,,,,9.849425299998984,None,return,0.4167693999988842,9.849425299998984,None,"[0, 0]","[-10.452846326765334, 99.45218953682733]",40,200,"[0.0, 6.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 11.0, 17.0, 16.0, 9.0, 5.0, 0.0, -5.0, -6.0, -7.0]","[0.0, -45.0, -42.0, -41.0, -41.0, -41.0, -41.0, -41.0, -41.0, -43.0, -43.0, -43.0, -43.0, -43.0, -43.0, -43.0, -43.0, -43.0, -43.0, -43.0, -37.0, -14.0, 3.0, 40.0, 55.0, 66.0, 75.0, 79.0, 81.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.011244200002693105, 0.02774420000059763, 0.05603239999982179, 0.0756561000016518, 0.09012590000202181, 0.10645380000278237, 0.12312990000282298, 0.1398090000002412, 0.15654260000155773, 0.17337870000119437, 0.18957199999931618, 0.20683430000281078, 0.2230842000026314, 0.23962550000214833, 0.2564496000013605, 0.27319060000081663, 0.2898182999997516, 0.30646210000122664, 0.3231656000025396, 0.340628400001151, 0.3643131999997422, 0.3777265000026091, 0.4056358000016189, 0.42351480000070296, 0.44062789999952656, 0.45726009999998496, 0.47317800000018906, 0.4897995000028459, 0.5078592000027129]",None,10.301415899997664,None,1,001,2022-07-05_15h55.30.651,GoFitts,2022.1.4,60.04040719417857,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,"[-10.452846326765334, 99.45218953682733]","[30.901699437494724, -95.10565162951536]",40,200,"[-7.0, -7.0, -7.0, -7.0, -7.0, -7.0, -7.0, -7.0, -7.0, -2.0, 1.0, 5.0, 9.0, 15.0, 20.0, 23.0, 26.0, 29.0]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 75.0, 56.0, 30.0, 2.0, -21.0, -41.0, -55.0, -64.0, -74.0, -82.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.009281599999667378, 0.022555100000317907, 0.04499430000214488, 0.06292800000301213, 0.07986730000266107, 0.09646530000100029, 0.11359820000143372, 0.1297749000004842, 0.1467560000019148, 0.16444290000072215, 0.18009000000165543, 0.19672560000253725, 0.2129796000008355, 0.22979950000080862, 0.24647600000025705, 0.26340410000193515, 0.27966940000260365, 0.2987767000013264]",None,10.80641359999936,None,1,001,2022-07-05_15h55.30.651,GoFitts,2022.1.4,60.04040719417857,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,"[30.901699437494724, -95.10565162951536]","[-49.99999999999998, 86.60254037844388]",40,200,"[30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 30.0, 22.0, 10.0, -8.0, -30.0, -46.0, -55.0]","[-91.0, -91.0, -93.0, -94.0, -95.0, -95.0, -95.0, -95.0, -95.0, -95.0, -93.0, -74.0, -47.0, -9.0, 33.0, 64.0, 83.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.013119700000970624, 0.02626840000084485, 0.045811799998773495, 0.062320000000909204, 0.07872510000015609, 0.09568090000175289, 0.11223740000059479, 0.12861980000161566, 0.14550099999905797, 0.1622114000019792, 0.17962330000227666, 0.19597350000185543, 0.21367920000193408, 0.22897630000079516, 0.24542279999877792, 0.2621437000016158, 0.27874770000198623]",None,11.111070699997072,None,1,001,2022-07-05_15h55.30.651,GoFitts,2022.1.4,60.04040719417857,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,"[-49.99999999999998, 86.60254037844388]","[66.91306063588584, -74.3144825477394]",40,200,"[-59.0, -59.0, -59.0, -59.0, -59.0, -59.0, -59.0, -59.0, -59.0, -59.0, -57.0, -48.0, -36.0, -20.0, -5.0, 7.0, 16.0, 22.0, 25.0, 27.0, 30.0, 33.0, 38.0, 42.0, 43.0, 44.0, 44.0, 47.0, 48.0, 50.0, 51.0, 51.0, 51.0, 51.0, 51.0, 50.0, 43.0, 31.0, 13.0, -7.0, -24.0, -37.0, -42.0, -43.0, -43.0, -43.0, -43.0, -49.0, -54.0, -62.0, -67.0, -67.0, -67.0, -56.0, -36.0, -16.0, 9.0, 24.0, 35.0, 39.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 44.0, 49.0, 53.0]","[92.0, 92.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 93.0, 86.0, 72.0, 52.0, 25.0, 1.0, -18.0, -29.0, -36.0, -39.0, -42.0, -43.0, -44.0, -48.0, -50.0, -51.0, -52.0, -53.0, -54.0, -56.0, -58.0, -60.0, -61.0, -61.0, -61.0, -61.0, -61.0, -54.0, -42.0, -23.0, -1.0, 18.0, 31.0, 37.0, 38.0, 38.0, 38.0, 38.0, 44.0, 48.0, 56.0, 59.0, 59.0, 59.0, 44.0, 18.0, -9.0, -33.0, -44.0, -51.0, -53.0, -53.0, -53.0, -53.0, -53.0, -53.0, -55.0, -57.0, -62.0, -66.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.009841399998549605, 0.02304780000122264, 0.04729990000123507, 0.06504099999801838, 0.0817678999992495, 0.09866739999779384, 0.11528919999909704, 0.13237450000087847, 0.14894590000039898, 0.16548089999923832, 0.1829197999977623, 0.19871810000040568, 0.21577350000006845, 0.23195470000064233, 0.2500322999985656, 0.2656432000003406, 0.282428999998956, 0.2990587999993295, 0.31500729999970645, 0.3318412000007811, 0.34814840000035474, 0.3651390999984869, 0.3820634000003338, 0.39864939999824855, 0.4155758999986574, 0.43199380000078236, 0.4487255999993067, 0.4654969000002893, 0.4818453000007139, 0.49841250000099535, 0.5154283000010764, 0.5317322000009881, 0.5481785000010859, 0.5650820000009844, 0.5816979000010178, 0.5985349000002316, 0.6161886999980197, 0.6318533999983629, 0.6486565999985032, 0.6658764999992854, 0.6824751999993168, 0.698750999999902, 0.7151732999991509, 0.7314832000010938, 0.7483027999987826, 0.765484399998968, 0.7817938999978651, 0.7985300000000279, 0.8157519999986107, 0.8318585999986681, 0.8482751000010467, 0.864962600000581, 0.8816221999986738, 0.8991261999981361, 0.9151773000012327, 0.9324545999988914, 0.9482742000000144, 0.9652550999999221, 0.9821879000010085, 0.9984597000002395, 1.0150895999977365, 1.0314701999996032, 1.0480212000002211, 1.064892599999439, 1.081484399997862, 1.098617399999057, 1.115087099999073, 1.1320200000009208, 1.1498861000000034]",None,11.387973599998077,None,1,001,2022-07-05_15h55.30.651,GoFitts,2022.1.4,60.04040719417857,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,"[66.91306063588584, -74.3144825477394]","[-80.90169943749473, 58.77852522924732]",40,200,"[60.0, 60.0, 60.0, 63.0, 65.0, 67.0, 68.0, 68.0, 66.0, 59.0, 45.0, 25.0, 6.0, -10.0, -24.0, -39.0, -52.0, -64.0, -73.0, -79.0]","[-69.0, -70.0, -70.0, -71.0, -71.0, -72.0, -72.0, -72.0, -72.0, -68.0, -57.0, -42.0, -25.0, -12.0, 0.0, 14.0, 23.0, 33.0, 39.0, 44.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.011034800001652911, 0.02553480000278796, 0.0463662000001932, 0.06391749999966123, 0.08042820000264328, 0.09754360000079032, 0.11388340000121389, 0.13029290000122273, 0.14737590000004275, 0.16456670000115992, 0.1812740000023041, 0.19830350000120234, 0.21416660000249976, 0.23070640000150888, 0.24746819999927538, 0.264566100002412, 0.28174679999938235, 0.29729240000233403, 0.314150599999266, 0.3306933999992907]",None,12.541081499999564,None,1,001,2022-07-05_15h55.30.651,GoFitts,2022.1.4,60.04040719417857,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,"[-80.90169943749473, 58.77852522924732]","[91.3545457642601, -40.67366430758001]",40,200,"[-82.0, -82.0, -83.0, -84.0, -84.0, -84.0, -84.0, -84.0, -84.0, -81.0, -74.0, -60.0, -34.0, -5.0, 20.0, 41.0, 56.0, 64.0, 65.0, 65.0, 65.0, 65.0, 66.0, 70.0, 76.0]","[49.0, 49.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 51.0, 47.0, 34.0, 12.0, -8.0, -23.0, -35.0, -43.0, -46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -46.0, -43.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.009250999999494525, 0.022893999997904757, 0.04665479999675881, 0.0644319999992149, 0.08071509999717819, 0.09714509999685106, 0.11364229999890085, 0.13087459999951534, 0.14757379999718978, 0.16421679999984917, 0.18110989999695448, 0.19855979999920237, 0.2141535999980988, 0.23223229999712203, 0.2480967999981658, 0.2646917999991274, 0.2810828000001493, 0.29784010000003036, 0.3142124999976659, 0.33072549999997136, 0.3471164000002318, 0.36420969999744557, 0.3809213999993517, 0.3974493999994593, 0.41419049999967683]",None,12.87154240000018,None,1,001,2022-07-05_15h55.30.651,GoFitts,2022.1.4,60.04040719417857,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,"[91.3545457642601, -40.67366430758001]","[-97.81476007338057, 20.79116908177593]",40,200,"[88.0, 88.0, 93.0, 95.0, 96.0, 96.0, 96.0, 96.0, 96.0, 95.0, 90.0, 77.0, 55.0, 27.0, -11.0, -42.0, -63.0, -75.0, -79.0, -82.0]","[-40.0, -40.0, -40.0, -40.0, -40.0, -40.0, -40.0, -40.0, -40.0, -40.0, -38.0, -36.0, -33.0, -24.0, -11.0, 0.0, 7.0, 11.0, 13.0, 14.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.010775400001875823, 0.024803000000247266, 0.04725060000055237, 0.06481450000137556, 0.08152609999888227, 0.09821780000129365, 0.11483420000149636, 0.13167230000181007, 0.14791350000086823, 0.16549360000135493, 0.1818719000002602, 0.19851679999919725, 0.21526250000169966, 0.23159320000195294, 0.24841530000048806, 0.265178300000116, 0.28237390000140294, 0.29825870000058785, 0.3151876000010816, 0.3474999999998545]",None,13.288405899998907,None,1,001,2022-07-05_15h55.30.651,GoFitts,2022.1.4,60.04040719417857,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,"[-97.81476007338057, 20.79116908177593]","[100.0, 0.0]",40,200,"[-86.0, -86.0, -87.0, -87.0, -87.0, -87.0, -87.0, -87.0, -87.0, -87.0, -87.0, -87.0, -87.0, -83.0, -61.0, -13.0, 37.0, 75.0, 105.0]","[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 12.0, 8.0, 5.0, 2.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.009754999999131542, 0.023293700000067474, 0.04796809999970719, 0.06574130000080913, 0.08233349999864004, 0.09924650000175461, 0.11641529999906197, 0.13279030000194325, 0.14957180000055814, 0.1673326000018278, 0.18250850000185892, 0.1991669000017282, 0.21614520000002813, 0.23259880000114208, 0.2491535000008298, 0.265976499998942, 0.2825893000008364, 0.29980369999975665, 0.3161608000009437]",None,13.636384099998395,None,1,001,2022-07-05_15h55.30.651,GoFitts,2022.1.4,60.04040719417857,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,"[100.0, 0.0]","[-97.81476007338057, -20.791169081775905]",40,200,"[118.0, 118.0, 118.0, 118.0, 118.0, 118.0, 118.0, 118.0, 117.0, 114.0, 110.0, 94.0, 68.0, 31.0, -12.0, -52.0, -81.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.0, -8.0, -11.0, -14.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.009696699999039993, 0.0229153000000224, 0.047007199998915894, 0.06503180000072462, 0.08163109999804874, 0.0981885000001057, 0.11532339999757824, 0.13130639999872074, 0.14865070000087144, 0.16445530000055442, 0.18143290000080015, 0.19805339999948046, 0.2151345999991463, 0.2312434999985271, 0.2483420999997179, 0.2648260999994818, 0.2817708999973547]",None,13.954162999998516,None,1,001,2022-07-05_15h55.30.651,GoFitts,2022.1.4,60.04040719417857,
